age.grp,cap_per_100k,ipd_per_100k
0-1m,40.535155529498425,18.42311701548593
2-3m,29.01529910838804,15.13139755921569
4-5m,27.713382011061782,16.042655464729794
6-11m,45.904187252379515,17.696912464718395
1-4,47.11576521673309,14.582514435900613
5-14,11.941509973831534,2.477874078531566
15-24,9.852388622319967,1.4384622732444157
25-49,22.52539472316466,3.5699191557277583
50-64,60.05087489993491,7.954813715516966
65 and above,319.5894662112742,17.449616193964765
